
Tom was wearing gloves.	Tom hatte Handschuhe an.	टॉम दस्ताने पर था।
Tom was wearing shorts.	Tom trug eine kurze Hose.	टॉम ने एक शॉर्ट्स पहना था।
Tom was wearing shorts.	Tom hat eine kurze Hose an.	टॉम के पास एक छोटी पतलून है।
Tom wasn't a bad coach.	Tom war kein schlechter Trainer.	टॉम एक बुरा कोच नहीं था।
Tom wasn't a carpenter.	Tom war kein Tischler.	टॉम एक बढ़ई नहीं था।
Tom wasn't a carpenter.	Tom war kein Schreiner.	टॉम एक बढ़ई नहीं था।
Tom wasn't a carpenter.	Tom war kein Zimmermann.	टॉम एक बढ़ई नहीं था।
Tom wasn't in the room.	Tom war nicht in dem Zimmer.	टॉम कमरे में नहीं था।
Tom wasn't that stupid.	Tom war nicht dumm.	टॉम बेवकूफ नहीं था।
Tom wasn't trustworthy.	Tom war nicht vertrauenswürdig.	टॉम भरोसेमंद नहीं था।
Tom wasn't very hungry.	Tom war nicht besonders hungrig.	टॉम विशेष रूप से भूखा नहीं था।
Tom wasn't very polite.	Tom war nicht sehr höflich.	टॉम बहुत विनम्र नहीं था।
Tom watched Mary dance.	Tom sah Maria beim Tanzen zu.	टॉम ने मारिया को नाचते देखा।
Tom watched TV all day.	Tom sah den ganzen Tag fern.	टॉम ने पूरे दिन दूर देखा।
Tom went back to sleep.	Tom ging wieder schlafen.	टॉम फिर से सो गया।
Tom went back to sleep.	Tom schlief wieder ein.	टॉम फिर से सो गया।
Tom went down the hill.	Tom ging den Hügel hinunter.	टॉम पहाड़ी से नीचे चला गया।
Tom went into the bank.	Tom ging in die Bank.	टॉम बैंक गए।
Tom went out with Mary.	Tom ist mit Maria ausgegangen.	टॉम मारिया के साथ बाहर चला गया।
Tom will also be there.	Tom wird auch dort sein.	टॉम भी वहां होगा।
Tom will be along soon.	Tom wird bald hier sein.	टॉम जल्द ही यहां आ जाएगा।
Tom will be here today.	Tom wird heute hier sein.	टॉम आज यहां होगा।
Tom will be there, too.	Tom wird auch dort sein.	टॉम भी वहां होगा।
Tom will call you soon.	Tom ruft dich bald an.	टॉम आपको जल्द ही फोन करेगा।
Tom will come for sure.	Tom wird bestimmt kommen.	टॉम निश्चित रूप से आएगा।
Tom will come tomorrow.	Tom kommt morgen.	टॉम कल आता है।
Tom will die in prison.	Tom wird im Gefängnis sterben.	टॉम जेल में मर जाएगा।
Tom will do that again.	Tom wird es wieder tun.	टॉम इसे फिर से करेंगे।
Tom will explain later.	Tom wird das später erklären.	टॉम बाद में इसे समझाएगा।
Tom will find somebody.	Tom wird jemanden finden.	टॉम को कोई मिल जाएगा।
Tom will never do that.	Tom wird das nie tun.	टॉम ऐसा कभी नहीं करेगा।
